Phone Number,Domain,Treatment,Destination,Notes,Enable
15868845487,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845488,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845489,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845490,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845491,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845492,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845493,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845494,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845495,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845496,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845497,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845498,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845499,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845500,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845501,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845502,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845503,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845504,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845505,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845506,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845507,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845508,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845509,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845510,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845511,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845512,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845513,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845514,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845515,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845516,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845517,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845518,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845519,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845520,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845521,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845522,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845523,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845524,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845525,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
15868845526,stlawrenceparish.com,SIP Trunk,stlawrence,11308,yes
